family_Size,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,date of reservation,booking status
2,2,1,Meal Plan 2,0,Room_Type 1,131,Offline,8/15/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,119,Offline,3/18/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,81,Offline,2/19/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,1,2,Meal Plan 2,0,Room_Type 1,98,Offline,5/16/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,0,3,Meal Plan 2,0,Room_Type 1,36,Offline,10/13/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,5,Offline,10/19/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,9/22/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,226,Offline,10/29/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,109,Offline,5/22/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,116,Offline,5/31/2018,Not_Canceled
1,0,4,Meal Plan 1,0,Room_Type 1,14,Offline,5/18/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,92,Offline,5/24/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,238,Offline,10/13/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,12,Offline,12/19/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,135,Offline,9/14/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,10,Offline,2/13/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,135,Offline,9/14/2017,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,62,Offline,9/23/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,1/14/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,2/27/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,92,Offline,6/26/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,160,Offline,12/30/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,221,Offline,10/17/2017,Not_Canceled
1,2,0,Meal Plan 1,0,Room_Type 1,4,Offline,9/20/2017,Not_Canceled
2,2,5,Meal Plan 2,0,Room_Type 4,51,Offline,7/21/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,1,5,Meal Plan 2,0,Room_Type 1,94,Offline,3/28/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,14,Offline,10/15/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,4,Offline,12/16/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,226,Offline,10/29/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,273,Offline,7/17/2017,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,14,Offline,5/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,261,Offline,10/13/2018,Not_Canceled
2,0,2,Not Selected,0,Room_Type 1,77,Offline,3/25/2018,Not_Canceled
3,1,1,Meal Plan 1,0,Room_Type 1,31,Offline,6/20/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,85,Offline,9/30/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,79,Offline,11/13/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,150,Offline,6/16/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,115,Offline,2/27/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,14,Offline,10/15/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,8/25/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,43,Offline,10/13/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,73,Offline,11/24/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,91,Offline,9/19/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,2,6,Meal Plan 1,0,Room_Type 1,99,Offline,4/27/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,212,Offline,5/20/2018,Not_Canceled
2,0,1,Meal Plan 2,0,Room_Type 1,83,Offline,9/30/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 2,161,Offline,4/22/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,16,Offline,11/25/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,39,Offline,9/18/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,25,Offline,10/19/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,2,Offline,5/15/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,192,Offline,8/25/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,9/22/2017,Not_Canceled
2,4,6,Meal Plan 1,0,Room_Type 1,207,Offline,8/20/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,86,Offline,9/24/2017,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,140,Offline,12/29/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,1,Offline,10/13/2018,Not_Canceled
3,0,4,Meal Plan 1,0,Room_Type 1,106,Offline,7/13/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,97,Offline,5/16/2018,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,263,Offline,9/21/2017,Not_Canceled
3,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,10/28/2017,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,256,Offline,9/14/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,8/14/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,9,Offline,2/17/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,58,Offline,3/17/2018,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,5/23/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,5/20/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,9/17/2017,Not_Canceled
3,4,5,Meal Plan 1,0,Room_Type 1,167,Offline,8/21/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,18,Offline,8/14/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,59,Offline,12/17/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,16,Offline,11/27/2017,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,26,Offline,11/23/2017,Not_Canceled
2,2,1,Meal Plan 2,0,Room_Type 1,145,Offline,8/29/2017,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,10/17/2017,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,336,Offline,9/21/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,192,Offline,10/31/2018,Not_Canceled
1,2,1,Meal Plan 1,0,Room_Type 1,116,Offline,2/28/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 1,124,Offline,7/14/2018,Not_Canceled
3,1,3,Not Selected,0,Room_Type 1,30,Offline,7/14/2018,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,140,Offline,12/29/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
1,1,1,Meal Plan 1,0,Room_Type 1,32,Offline,7/18/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 1,26,Offline,12/26/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,70,Offline,11/26/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,5,Offline,8/21/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,7/21/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,192,Offline,9/25/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,40,Offline,12/31/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,63,Offline,1/19/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,269,Offline,12/29/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,44,Offline,6/18/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,148,Offline,12/30/2017,Not_Canceled
3,1,1,Meal Plan 1,0,Room_Type 1,32,Offline,7/18/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,42,Offline,1/14/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,64,Offline,9/28/2018,Not_Canceled
2,1,5,Meal Plan 1,0,Room_Type 1,32,Offline,9/15/2017,Not_Canceled
3,1,3,Meal Plan 1,0,Room_Type 1,48,Offline,8/22/2018,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,42,Offline,3/25/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,377,Offline,10/14/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,34,Offline,2/17/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,68,Offline,9/29/2017,Not_Canceled
2,1,5,Meal Plan 2,0,Room_Type 1,94,Offline,3/28/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,24,Offline,2/25/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,17,Offline,10/16/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,1,Meal Plan 2,0,Room_Type 2,110,Offline,7/23/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 4,67,Offline,4/22/2018,Not_Canceled
1,2,1,Meal Plan 1,0,Room_Type 1,116,Offline,2/28/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,3/29/2018,Not_Canceled
2,1,5,Meal Plan 2,0,Room_Type 1,94,Offline,3/28/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,3,Offline,3/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,6,Offline,2/25/2018,Not_Canceled
1,1,3,Meal Plan 1,0,Room_Type 1,191,Offline,6/23/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,44,Offline,6/18/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,10/13/2018,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,91,Offline,9/30/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,67,Offline,3/26/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,46,Offline,3/21/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,117,Offline,2018-2-29,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 1,15,Offline,12/27/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,81,Offline,3/25/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,11,Offline,10/23/2017,Not_Canceled
2,1,5,Meal Plan 2,0,Room_Type 1,94,Offline,3/28/2018,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 4,0,Offline,9/21/2017,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,59,Offline,3/18/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,9/30/2017,Not_Canceled
2,0,1,Meal Plan 2,0,Room_Type 1,40,Offline,7/26/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,44,Offline,6/18/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,43,Offline,11/19/2018,Not_Canceled
3,1,1,Meal Plan 1,0,Room_Type 1,173,Offline,8/22/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,221,Offline,10/17/2017,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,3/20/2018,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 4,31,Offline,2/22/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,42,Offline,9/24/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,28,Offline,10/20/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,2,Offline,5/15/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,148,Offline,6/29/2018,Not_Canceled
3,1,4,Meal Plan 1,0,Room_Type 1,41,Offline,3/28/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,12/31/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,66,Offline,9/18/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 1,71,Offline,6/17/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,16,Offline,1/31/2018,Not_Canceled
1,1,3,Meal Plan 1,0,Room_Type 4,68,Offline,11/30/2017,Not_Canceled
2,1,5,Meal Plan 1,0,Room_Type 1,41,Offline,12/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 7,10,Offline,12/27/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,41,Offline,11/27/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,80,Offline,4/24/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,32,Offline,10/25/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,10/13/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,10/16/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 5,33,Offline,8/13/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,86,Offline,5/20/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,198,Offline,8/25/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,80,Offline,7/15/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,2,1,Not Selected,0,Room_Type 1,110,Offline,8/14/2018,Not_Canceled
2,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,9/28/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,41,Offline,12/27/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,5/20/2018,Not_Canceled
2,2,1,Meal Plan 2,0,Room_Type 1,145,Offline,8/29/2017,Not_Canceled
2,2,0,Meal Plan 1,0,Room_Type 1,116,Offline,2/28/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,68,Offline,9/29/2017,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,21,Offline,12/25/2017,Not_Canceled
1,0,4,Meal Plan 2,0,Room_Type 1,33,Offline,10/21/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,5,Offline,10/19/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,135,Offline,9/14/2017,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,3,Offline,12/25/2017,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,3,Offline,8/28/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 4,5,Offline,9/26/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,63,Offline,1/19/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,80,Offline,3/26/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,64,Offline,10/16/2017,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,11/21/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,41,Offline,9/18/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,49,Offline,1/22/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,58,Offline,1/27/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,89,Offline,7/17/2018,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 4,31,Offline,10/26/2017,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,38,Offline,6/18/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
1,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,7/30/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,2/27/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,226,Offline,10/29/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,14,Offline,10/15/2017,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,7/21/2018,Not_Canceled
3,2,5,Meal Plan 2,0,Room_Type 1,125,Offline,7/18/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,92,Offline,5/24/2018,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,24,Offline,9/20/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,122,Offline,4/15/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,10/17/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,67,Offline,12/16/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,51,Offline,6/26/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,56,Offline,8/15/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,37,Offline,10/30/2018,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,140,Offline,12/29/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,2/27/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,122,Offline,4/15/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,33,Offline,5/29/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,78,Offline,9/29/2018,Not_Canceled
2,2,1,Meal Plan 2,0,Room_Type 1,54,Offline,12/27/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,36,Offline,10/13/2017,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,67,Offline,7/23/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,41,Offline,12/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,179,Offline,7/19/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,5/20/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,9/22/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,91,Offline,7/15/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,221,Offline,10/17/2017,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,195,Offline,5/16/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,4,Offline,9/26/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,10,Offline,9/15/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,14,Offline,10/15/2017,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,4,Offline,10/23/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,11,Offline,7/25/2018,Not_Canceled
2,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,9/28/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,86,Offline,5/20/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,105,Offline,3/18/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,150,Offline,6/16/2018,Not_Canceled
3,2,2,Meal Plan 1,0,Room_Type 4,158,Offline,2/27/2018,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,25,Offline,11/15/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,135,Offline,9/14/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,58,Offline,11/23/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 4,76,Offline,10/16/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,152,Offline,10/29/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,35,Offline,10/16/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,35,Offline,10/26/2017,Not_Canceled
1,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,4/20/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,192,Offline,10/31/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,44,Offline,6/18/2018,Not_Canceled
3,1,4,Meal Plan 2,0,Room_Type 1,197,Offline,12/21/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,5,Offline,1/13/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,56,Offline,9/25/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,0,Offline,12/29/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,1,Offline,6/17/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,5,Offline,10/28/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,15,Offline,10/23/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,65,Offline,11/18/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,8/14/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,56,Offline,9/25/2017,Not_Canceled
3,0,4,Meal Plan 1,0,Room_Type 1,106,Offline,7/13/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,34,Offline,9/18/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,21,Offline,5/19/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,10/16/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,61,Offline,11/19/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,0,2,Not Selected,0,Room_Type 1,29,Offline,8/16/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,4,Offline,3/16/2018,Not_Canceled
